,id,latitude,longitude,Coordinates
169,310722,52.35901103004662,4.8643977976891035,POINT (29289131.12671668 24054502.16658596)
170,311124,52.37143337794846,4.876667139735057,POINT (29285867.70585612 24059094.27199712)
171,311584,52.366839537629346,4.8767584018742,POINT (29287512.06314651 24058405.0041022)
172,311694,52.361762071894596,4.893214501045171,POINT (29290874.8019299 24061208.41252171)
173,313778,52.36439279170668,4.939439259273157,POINT (29294302.41170636 24071691.59800117)
174,314082,52.36314066044941,4.8628437740077315,POINT (29287513.94508501 24054801.08393282)
175,314235,52.35718094757721,4.896541019086117,POINT (29292820.26939931 24061226.73918502)
176,315820,52.35562205577938,4.915361669484475,POINT (29295152.96461118 24065089.60630131)
177,319985,52.357286096674464,4.901626908382143,POINT (29293263.25511822 24062351.75760998)
178,320689,52.3491899761009,4.858891147328281,POINT (29292106.8994274 24051785.33052366)
179,325165,52.37073252478772,4.928607658807339,POINT (29291022.27864449 24070307.61864611)
180,329577,52.35157006940396,4.849302410206958,POINT (29290352.83243467 24050062.57084344)
181,331946,52.36181544971878,4.856987624920197,POINT (29287432.13764336 24053320.03204194)
182,335197,52.3704158509066,4.889335098555673,POINT (29287426.85014408 24061698.23176636)
183,340994,52.36884439013096,4.906479868020015,POINT (29289605.72124544 24065192.81370237)
184,342540,52.3566559259347,4.933655150598123,POINT (29296511.90191714 24069237.75031863)
185,343094,52.35549014520654,4.9085239968759655,POINT (29294554.19869909 24063578.43273799)
186,345397,52.35711088030786,4.903913951254411,POINT (29293541.66871471 24062823.34264428)
187,347272,52.3762616668596,4.8781816402362175,POINT (29284291.52432858 24060169.70300201)
188,349208,52.351351900423715,4.9177942864427,POINT (29296903.24291654 24064961.48424184)
189,350271,52.36075570338882,4.988761589662034,POINT (29300249.90648174 24081886.21501191)
190,356220,52.35989203954985,4.893966153096777,POINT (29291611.68162266 24061083.71509553)
191,356424,52.37855001279298,4.87036896319253,POINT (29282738.49288721 24058820.43828906)
192,357980,52.365451615757415,4.875296384968482,POINT (29287868.09294723 24057872.08426621)
193,359298,52.362873802035686,4.9101519849131465,POINT (29292078.66518025 24065072.28583081)
194,359408,52.3663006202557,4.880362689046959,POINT (29288044.52941205 24059107.4190652)
195,361342,52.38029175778536,4.893370169574942,POINT (29284291.07672955 24064101.78987432)
196,362458,52.37021068428303,4.930074872762538,POINT (29291346.60873155 24070547.00155184)
197,364728,52.371015879048564,4.930616986250456,POINT (29291110.99856131 24070789.33359062)
198,366438,52.36850150619426,4.896692850156722,POINT (29288803.53372012 24063006.56332618)
199,367107,52.362482395341395,4.902040840800507,POINT (29291452.02851139 24063243.66095011)
200,367491,52.36594092995622,4.878068144957083,POINT (29287955.78947284 24058551.76522645)
201,370695,52.370006922285384,4.8878736006932035,POINT (29287434.40519739 24061316.57235245)
202,370870,52.36430151718033,4.905423277688136,POINT (29291123.69567481 24064261.6647081)
203,378523,52.3721309699917,4.9037882171024245,POINT (29288181.14203713 24065113.14347091)
204,379143,52.35397725203687,4.904327780949765,POINT (29294696.5710381 24062430.16408231)
205,379885,52.35466251384658,4.907630215719822,POINT (29294764.4884025 24063255.90047365)
206,384909,52.373928142075776,4.8779306825068565,POINT (29285098.75424612 24059754.77615471)
207,386479,52.371979491307535,4.875612251968058,POINT (29285573.57209581 24058948.67264842)
208,387644,52.37926631635374,4.877495439022881,POINT (29283156.75506452 24060484.01229795)
209,390894,52.37170239002863,4.877288495130244,POINT (29285830.62708668 24059271.22171053)
210,392003,52.37187604299336,4.876419661464853,POINT (29285686.69909323 24059108.67189179)
211,396125,52.37914263423,4.884930466253877,POINT (29283903.16704919 24062085.18262251)
212,400325,52.361233419864966,4.894886639744007,POINT (29291221.0047286 24061491.35724878)
213,402353,52.3541445044911,4.9342754622923115,POINT (29297464.82499653 24068985.84695827)
214,406794,52.36130708101714,4.925787213006578,POINT (29294112.81244106 24068239.37023468)
215,408794,52.3597097567875,4.861774202515398,POINT (29288634.34067688 24054038.17904629)
216,409893,52.363865735041855,4.8953790996935895,POINT (29290330.2045906 24062004.88011124)
217,410998,52.37130639414874,4.87287175014137,POINT (29285554.28538167 24058247.48639134)
218,414865,52.35098813463605,4.846646282429849,POINT (29290308.77949737 24049393.68650431)
219,414917,52.36299894155552,4.899171691731012,POINT (29290997.09647441 24062697.89022416)
220,415619,52.369581714368636,4.935160978566824,POINT (29292050.61514127 24071558.80346118)
221,418098,52.36872131205867,4.860219830421077,POINT (29285278.97001056 24055090.95858236)
222,418901,52.37937483615373,4.893615757464223,POINT (29284640.8070861 24064013.80641121)
223,422044,52.379989088868605,4.893881514844094,POINT (29284447.15589565 24064166.51817731)
224,424248,52.371981450637314,4.83354187468096,POINT (29281595.79922464 24049780.85384877)
225,425575,52.36216056517296,4.895037828314399,POINT (29290905.14940574 24061667.37526817)
226,431206,52.35453344848232,4.8752212558292385,POINT (29291748.36121837 24056170.30665151)
227,431635,52.37852708756858,4.855730952745263,POINT (29281363.26971067 24055627.14773109)
228,432233,52.3617700401836,4.887437204979946,POINT (29290326.15888103 24059950.24519758)
229,432610,52.3477569167267,4.9061689576766065,POINT (29297085.34496933 24061872.10375514)
230,432750,52.34786818603733,4.90790904389846,POINT (29297210.09463991 24062268.69839533)
231,434097,52.36408774295845,4.922077786001281,POINT (29292772.37034434 24067859.43584439)
232,437757,52.352980432988225,4.9051204461631865,POINT (29295126.38378673 24062449.22231422)
233,438089,52.36149890877554,4.867808450956324,POINT (29288567.75908529 24055629.72405067)
234,439097,52.36993756986935,4.867074086243472,POINT (29285493.77495204 24056772.59028943)
235,440992,52.34278599412925,4.849848651254993,POINT (29293531.41275228 24048825.03789102)
236,441424,52.373786853846376,4.944882122498465,POINT (29291470.11077816 24074326.28763091)
237,442105,52.37202251108621,4.870931150477715,POINT (29285115.91435231 24057935.11356928)
238,443698,52.360354701922276,4.899665438779062,POINT (29291985.3099783 24062397.55764763)
239,444935,52.364456681307466,4.8887065976776425,POINT (29289489.44763776 24060641.5719527)
240,446592,52.358520093449314,4.903558256143318,POINT (29293006.27636601 24062963.19038064)
241,446999,52.361048160108794,4.866996723810226,POINT (29288651.51569501 24055383.1972818)
242,447151,52.353527871358594,4.8470901311746735,POINT (29289446.65180542 24049882.71368097)
243,450767,52.37007373806571,4.901695876112567,POINT (29288716.16318679 24064339.67586454)
244,451408,52.3507558444754,4.890155937469404,POINT (29294504.71628109 24058843.28073245)
245,451719,52.371155314957406,4.878959760656713,POINT (29286183.33930989 24059551.01684489)
246,454056,52.37175820609724,4.950291753295827,POINT (29292703.02006499 24075192.93138291)
247,455881,52.35698256769386,4.920605929326942,POINT (29295163.67324167 24066442.84921274)
