,lat,lon,NAME,CAT,SHAPE
76,52.353161,4.771116,Jachthaven De hooglanden,Harbor / Marina,"{'x': 52.353161, 'y': 4.771116, 'spatialReference': {'wkid': 4326}}"
77,52.359655773182,4.7786750162152005,Westgaarde Begraafplaats,Cemetery,"{'x': 52.359655773182, 'y': 4.7786750162152005, 'spatialReference': {'wkid': 4326}}"
78,52.355582714081,4.7608941793442,Pius Floris Boomverzorging,Garden,"{'x': 52.355582714081, 'y': 4.7608941793442, 'spatialReference': {'wkid': 4326}}"
79,52.355773,4.7776894808632004,Nysa's uitlaatplek,Dog Run,"{'x': 52.355773, 'y': 4.7776894808632004, 'spatialReference': {'wkid': 4326}}"
80,52.353182000000004,4.771054,Jachthaven Osdorp,Harbor / Marina,"{'x': 52.353182000000004, 'y': 4.771054, 'spatialReference': {'wkid': 4326}}"
81,52.352198127628,4.7679328216739005,ecozone Osdorp,Other Great Outdoors,"{'x': 52.352198127628, 'y': 4.7679328216739005, 'spatialReference': {'wkid': 4326}}"
82,52.351521999999996,4.769957,The Real PlayStation,Playground,"{'x': 52.351521999999996, 'y': 4.769957, 'spatialReference': {'wkid': 4326}}"
83,52.353996,4.777176,Joosbanckerweg 18a,Outdoors & Recreation,"{'x': 52.353996, 'y': 4.777176, 'spatialReference': {'wkid': 4326}}"
84,52.351169586182,4.7731728553772,klussie,Zoo,"{'x': 52.351169586182, 'y': 4.7731728553772, 'spatialReference': {'wkid': 4326}}"
85,52.354702001867,4.778158639240799,Hockey,Playground,"{'x': 52.354702001867, 'y': 4.778158639240799, 'spatialReference': {'wkid': 4326}}"
86,52.353761,4.77832,Speeltuin Seifertplein,Playground,"{'x': 52.353761, 'y': 4.77832, 'spatialReference': {'wkid': 4326}}"
87,52.390143732186004,4.7803454013660005,POWER SOUND STUDIO,Music Venue,"{'x': 52.390143732186004, 'y': 4.7803454013660005, 'spatialReference': {'wkid': 4326}}"
88,52.389641236513995,4.780023,Start KP1/3/5/7 (Abberdaan) Amsterdam Shortrally,Plaza,"{'x': 52.389641236513995, 'y': 4.780023, 'spatialReference': {'wkid': 4326}}"
89,52.384184000000005,4.780457,Voorsterbos,Trail,"{'x': 52.384184000000005, 'y': 4.780457, 'spatialReference': {'wkid': 4326}}"
90,52.384170465790994,4.7826024139097,De Osdorperbinnenpolder Noord,Park,"{'x': 52.384170465790994, 'y': 4.7826024139097, 'spatialReference': {'wkid': 4326}}"
91,52.383283504622,4.7809566470050004,Shoeless Open Air,Nightclub,"{'x': 52.383283504622, 'y': 4.7809566470050004, 'spatialReference': {'wkid': 4326}}"
92,52.383315882452,4.7813651162448,Shoeless,Music Venue,"{'x': 52.383315882452, 'y': 4.7813651162448, 'spatialReference': {'wkid': 4326}}"
93,52.383078000000005,4.781992,Lanterfanten festival,Music Venue,"{'x': 52.383078000000005, 'y': 4.781992, 'spatialReference': {'wkid': 4326}}"
94,52.379358477178,4.7838900097138,S.C. Eendracht'82,Soccer Stadium,"{'x': 52.379358477178, 'y': 4.7838900097138, 'spatialReference': {'wkid': 4326}}"
95,52.379326214056995,4.787111900775599,Amsterdam Panthers,Athletics & Sports,"{'x': 52.379326214056995, 'y': 4.787111900775599, 'spatialReference': {'wkid': 4326}}"
96,52.379385248902,4.7847938914324,S.V. Eendracht,Soccer Field,"{'x': 52.379385248902, 'y': 4.7847938914324, 'spatialReference': {'wkid': 4326}}"
97,52.37758413,4.7758381,Buitenverblijf De Boois,Sculpture Garden,"{'x': 52.37758413, 'y': 4.7758381, 'spatialReference': {'wkid': 4326}}"
98,52.381651,4.787168,De Tuinen Van West,Playground,"{'x': 52.381651, 'y': 4.787168, 'spatialReference': {'wkid': 4326}}"
99,52.382453126139005,4.7909099185355,BeeVee Strand,Beach,"{'x': 52.382453126139005, 'y': 4.7909099185355, 'spatialReference': {'wkid': 4326}}"
100,52.380064819367,4.7843127514326,Voetbalclub Nieuw-West,Soccer Field,"{'x': 52.380064819367, 'y': 4.7843127514326, 'spatialReference': {'wkid': 4326}}"
101,52.380404999999996,4.786109,P & T,Soccer Field,"{'x': 52.380404999999996, 'y': 4.786109, 'spatialReference': {'wkid': 4326}}"
102,52.380481,4.786214,Young Turks,Soccer Stadium,"{'x': 52.380481, 'y': 4.786214, 'spatialReference': {'wkid': 4326}}"
